"Date","waterYear","Temperature_C","cond_uScm","wy_doy","ice_or_no","ice_presence","Flow","cumulative_dis","airT_mean","airT_max","airT_min","wind_10m_mean","wind_10m_max","cumulative_water_temp","cumulWaterTemp_3day_slope","cumulWaterTemp_5day_slope","CFDD","temp_5day_mean","temp_7day_mean","z_cond_uScm","CLWD","wind_2day_mean"
2014-11-04,2015,0,20.46,35,0,"no ice",1.38,117.99,-3.46583333333333,1.35,-7.53,12.8265241978995,29.7115796381827,82.9,0.0999999999999933,0.709999999999998,2,1.07275,1.19505952380952,-0.181535312678629,0,12.8719588748583
2014-11-05,2015,-0.1,20.61,36,0,"no ice",1.34,119.33,0.56125,5.41,-2.82,15.4855774203294,31.60094244,82.8,-0.0500000000000066,0.259999999999994,0,0.290249999999999,1.05375,-0.125886542429174,0,14.1560508091145
2014-11-06,2015,0.5,20.75,37,0,"no ice",1.29,120.62,4.4125,7.93,0.84,14.4855646791624,26.9045263293428,83.3,0.19999999999999,0.11000000000001,0,-0.0550000000000013,1.47678571428571,-0.0739476901963481,0,14.9855710497459
2014-11-07,2015,0.3,20.9,38,0,"no ice",1.24,121.86,2.99291666666667,5.33,-0.42,21.3088634911943,32.3674839227005,83.6,0.399999999999976,0.180000000000008,0,0.058833333333332,1.26523809523809,-0.018298919946893,0,17.8972140851783
2014-11-08,2015,0,21.04,39,0,"no ice",1.16,123.02,1.0525,5.06,-2.97,15.4594862199485,27.2068243779871,83.6,0.149999999999989,0.219999999999999,0,1.11066666666667,0.538630952380951,0.0336399322859324,0,18.3841748555714
2014-11-09,2015,0.3,21.19,40,0,"no ice",1.19,124.21,3.36,6.06,1.49,25.996282638592,30.4025466065126,83.9,0.149999999999981,0.250000000000007,0,2.47583333333333,0.672380952380951,0.0892887025353888,0,20.7278844292702
2014-11-10,2015,0,21.33,41,0,"no ice",1.16,125.37,-2.8575,3.08,-9.73,14.0307680613236,33.457916169596,83.9,0.149999999999981,0.149999999999997,1,1.79208333333333,0.865119047619046,0.141227554768213,0,20.0135253499578
2014-11-11,2015,0,21.48,42,0,"no ice",1.12,126.49,-14.5841666666667,-9.6,-22.56,8.86605988203947,15.5143677107807,83.9,-2.48219742620217e-14,0.0900000000000016,2,-2.00725,-0.723214285714287,0.196876325017669,1,11.4484139716815
2014-11-12,2015,0,21.62,43,0,"no ice",1.09,127.58,-22.1679166666667,-15.03,-24.52,3.17412951076184,11.1310460054384,83.9,-2.48219742620217e-14,0.0600000000000028,3,-7.03941666666667,-3.9702380952381,0.248815177250495,2,6.02009469640064
2014-11-13,2015,0,21.77,44,0,"no ice",1.06,128.64,-10.9016666666667,-6.15,-15.85,16.1158148702089,26.1055957722114,83.9,-2.48219742620217e-14,5.61782329458624e-16,4,-9.43025,-6.15797619047619,0.30446394749995,0,9.64497219048535
